"sample_number" "antibody"
"SRX764540" "h3k4me3"
"SRX764541" "h3k27ac"
"SRX764542" "h3k27ac"
"SRX764543" "h3k27ac"
"SRX764544" "h3k27ac"
"SRX764545" "h3k4me1"
"SRX764546" "h3k4me3"
"SRX764547" "h3k4me1"
"SRX764548" "h3k4me3"
"SRX764549" "h3k4me1"
"SRX764550" "h3k4me3"
"SRX764551" "h3k27ac"
"SRX764552" "h3k27ac"
"SRX764553" "h3k4me3"
"SRX764555" "h3k4me3"
"SRX764556" "h3k4me3"
"SRX764557" "h3k27ac"
"SRX764558" "h3k4me1"
"SRX764559" "h3k4me3"
"SRX764560" "h3k4me1"
"SRX764561" "h3k27ac"
"SRX764562" "h3k27ac"
"SRX764563" "h3k4me3"
"SRX764565" "h3k27ac"
"SRX764567" "h3k4me3"
"SRX764568" "h3k27ac"
"SRX764569" "h3k4me1"
"SRX764570" "h3k27ac"
"SRX764571" "h3k4me3"
"SRX764572" "h3k4me1"
"SRX764573" "h3k4me3"
"SRX764574" "h3k27ac"
"SRX764575" "h3k27ac"
"SRX764577" "h3k4me3"
"SRX764578" "h3k4me3"
"SRX764580" "h3k4me1"
"SRX764581" "h3k4me3"
"SRX764582" "h3k4me3"
"SRX764584" "h3k27ac"
"SRX764585" "h3k4me3"
"SRX764586" "h3k4me1"
"SRX764587" "h3k27ac"
"SRX764588" "h3k27ac"
"SRX764589" "h3k27ac"
"SRX764590" "h3k4me1"
"SRX764591" "h3k4me1"
"SRX764592" "h3k27ac"
"SRX764593" "h3k4me3"
"SRX764594" "h3k4me3"
"SRX764596" "h3k4me1"
"SRX764597" "h3k4me3"
"SRX764598" "h3k4me3"
"SRX764599" "h3k4me1"
"SRX764600" "h3k27ac"
"SRX764602" "h3k27ac"
"SRX764603" "h3k27ac"
"SRX764604" "h3k27ac"
"SRX764605" "h3k27ac"
"SRX764606" "h3k27ac"
"SRX764607" "h3k27ac"
"SRX764608" "h3k4me1"
"SRX764609" "h3k4me1"
"SRX764610" "h3k4me3"
"SRX764611" "h3k4me3"
"SRX764613" "h3k4me3"
"SRX764617" "h3k4me3"
"SRX764618" "h3k4me1"
"SRX764619" "h3k4me1"
"SRX764620" "h3k4me3"
"SRX764621" "h3k4me3"
"SRX764623" "h3k27ac"
"SRX764624" "h3k27ac"
"SRX764625" "h3k27ac"
"SRX764626" "h3k4me3"
"SRX764627" "h3k27ac"
"SRX764629" "h3k27ac"
"SRX764630" "h3k27ac"
"SRX764631" "h3k4me3"
"SRX764632" "h3k4me1"
"SRX764633" "h3k4me3"
"SRX764634" "h3k4me3"
"SRX764635" "h3k4me1"
"SRX764636" "h3k27ac"
"SRX764637" "h3k27ac"
"SRX764638" "h3k27ac"
"SRX764640" "h3k4me3"
"SRX764641" "h3k4me1"
"SRX764642" "h3k4me1"
"SRX764644" "h3k4me3"
"SRX764645" "h3k4me3"
"SRX764648" "h3k27ac"
"SRX764650" "h3k4me1"
"SRX764651" "h3k4me3"
"SRX764652" "h3k4me3"
"SRX764653" "h3k4me1"
"SRX764654" "h3k4me3"
"SRX764655" "h3k27ac"
"SRX764656" "h3k27ac"
"SRX764657" "h3k4me3"
"SRX764658" "h3k4me1"
"SRX764659" "h3k4me3"
"SRX764660" "h3k4me1"
"SRX764661" "h3k4me3"
"SRX764662" "h3k4me3"
"SRX764663" "h3k27ac"
"SRX764664" "h3k4me1"
"SRX764665" "h3k4me1"
"SRX764666" "h3k27ac"
"SRX764667" "h3k4me3"
"SRX764668" "h3k4me1"
"SRX764669" "h3k27ac"
"SRX764670" "h3k27ac"
"SRX764671" "h3k27ac"
"SRX764672" "h3k27ac"
"SRX764673" "h3k4me1"
"SRX764674" "h3k4me3"
"SRX764675" "h3k4me3"
"SRX764676" "h3k4me1"
"SRX764678" "h3k27ac"
"SRX764679" "h3k27ac"
"SRX764680" "h3k27ac"
"SRX764681" "h3k4me3"
"SRX764683" "h3k27ac"
"SRX764684" "h3k27ac"
"SRX764685" "h3k27ac"
"SRX764686" "h3k4me3"
"SRX764687" "h3k4me1"
"SRX764688" "h3k27ac"
"SRX764689" "h3k4me3"
"SRX764690" "h3k4me3"
"SRX764691" "h3k4me1"
"SRX764692" "h3k4me1"
"SRX764693" "h3k4me3"
"SRX764694" "h3k4me1"
"SRX764695" "h3k4me3"
"SRX764696" "h3k4me1"
"SRX764697" "h3k4me3"
"SRX764698" "h3k4me1"
"SRX764699" "h3k27ac"
"SRX764700" "h3k27ac"
"SRX764701" "h3k27ac"
"SRX764702" "h3k27ac"
